AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Santosh R.,65,2,A1
2,2,Manju G.,40,1,A1
3,3,Mahesh V.,21,1,A1
4,4,Latha R.,40,1,A1
5,4,Manju G.,40,1,A2
6,5,Santosh R.,65,2,A1
7,6,Yusuf M.,21,1,A1
8,7,Yusuf M.,21,1,A1
9,7,Latha M.,21,1,A2
10,8,Latha M.,21,1,A1
11,9,Latha N.,30,2,A1
12,10,Ravi S.,30,1,A1
13,11,Yusuf M.,21,1,A1
14,12,Manju G.,40,1,A1
15,12,Yusuf M.,21,1,A2
16,13,Yusuf M.,21,1,A1
17,14,Kiran R.,30,2,A1
18,15,Latha M.,21,1,A1
19,15,Ramesh S.,40,1,A2
20,16,Manju R.,30,1,A1
21,16,Santosh R.,65,2,A2
22,17,Latha M.,21,1,A1
23,17,Kiran R.,30,2,A2
24,18,Mahesh V.,21,1,A1
25,18,Kiran R.,30,2,A2
26,19,Latha M.,21,1,A1
27,20,Ramesh S.,40,1,A1
28,21,Ramesh D.,40,1,A1
29,22,Basava B.,30,1,A1
30,23,Roopa R.,21,1,A1
31,23,Basava B.,30,1,A2
32,24,Girish P.,30,1,A1
33,24,Latha M.,21,1,A2
34,24,Girish G.,40,1,A3
35,25,Arjun D.,30,1,A1
36,26,Arjun D.,30,1,A1
37,27,Ramesh D.,40,1,A1
38,28,Girish T.,30,1,A1
39,28,Ramesh D.,40,1,A2
40,29,Ramesh D.,40,1,A1
41,30,Ramesh D.,40,1,A1
42,31,Basava B.,30,1,A1
43,31,Girish T.,30,1,A2
44,32,Roopa R.,21,1,A1
45,32,Mallesh N.,30,1,A2
46,33,Basava B.,30,1,A1
47,34,Arjun D.,30,1,A1
48,35,Mallesh N.,30,1,A1
49,35,Girish G.,40,1,A2
50,36,Girish G.,40,1,A1
51,36,Mallesh N.,30,1,A2
52,37,Arjun D.,30,1,A1
53,37,Basava B.,30,1,A2
54,38,Arjun K.,40,1,A1
55,38,Ramesh D.,40,1,A2
56,39,Latha M.,21,1,A1
57,39,Lokesh G.,40,1,A2
58,40,Mallesh N.,30,1,A1
59,41,Arjun N.,30,2,A1
60,42,Shankar T.,65,1,A1
61,42,Nagaraj P.,53,2,A2
62,43,Santosh D.,30,2,A1
63,44,Anil P.,21,2,A1
64,44,Ramesh V.,21,2,A2
65,44,Shankar B.,21,2,A3
66,45,Yusuf D.,40,1,A1
67,46,Ramesh V.,21,2,A1
68,46,Santosh T.,53,2,A2
69,47,Santosh T.,53,2,A1
70,47,Shankar T.,65,1,A2
71,48,Nagaraj P.,53,2,A1
72,49,Suresh V.,21,1,A1
73,50,Suresh V.,21,1,A1
74,51,Santosh G.,30,1,A1
75,52,Kiran H.,30,2,A1
76,52,Lokesh V.,40,1,A2
77,53,Santosh G.,30,1,A1
78,54,Shankar T.,65,1,A1
79,55,Santosh D.,30,2,A1
80,55,Santosh T.,53,2,A2
81,56,Shankar T.,65,1,A1
82,57,Shankar B.,21,2,A1
83,58,Shankar B.,21,2,A1
84,59,Nagaraj P.,53,2,A1
85,60,Nagaraj P.,53,2,A1
86,61,Imran B.,30,2,A1
87,61,Mahesh H.,40,2,A2
88,62,Mahesh H.,40,2,A1
89,63,Mahesh H.,40,2,A1
90,63,Manju B.,30,1,A2
91,64,Manju B.,30,1,A1
92,65,Girish H.,30,1,A1
93,66,Anil T.,40,1,A1
94,67,Anil T.,40,1,A1
95,67,Deepa G.,21,1,A2
96,68,Anil T.,40,1,A1
97,69,Vinod P.,21,2,A1
98,70,Lokesh S.,40,1,A1
99,70,Vinod P.,21,2,A2
100,71,Mahesh H.,40,2,A1
101,71,Basava M.,21,2,A2
102,72,Deepa M.,40,1,A1
103,73,Roopa K.,21,2,A1
104,74,Kiran K.,40,1,A1
105,75,Basava M.,21,2,A1
106,76,Girish H.,30,1,A1
107,76,Mallesh S.,30,2,A2
108,76,Anil T.,40,1,A3
109,77,Mahesh H.,40,2,A1
110,77,Deepa G.,21,1,A2
111,78,Vinod P.,21,2,A1
112,79,Deepa G.,21,1,A1
113,80,Deepa G.,21,1,A1
114,81,Mallesh N.,30,1,A1
115,82,Kavya R.,40,1,A1
116,83,Deepa R.,21,1,A1
117,84,Arjun P.,40,1,A1
118,85,Arjun P.,40,1,A1
119,85,Kiran K.,65,2,A2
120,86,Kavya R.,40,1,A1
121,87,Basava B.,21,1,A1
122,88,Mallesh N.,30,1,A1
123,89,Prakash G.,53,1,A1
124,89,Anil B.,65,1,A2
125,89,Kiran K.,65,2,A3
126,90,Shankar B.,21,1,A1
127,90,Kiran K.,65,2,A2
128,91,Basava B.,21,1,A1
129,92,Prakash G.,53,1,A1
130,93,Mallesh N.,30,1,A1
131,94,Kiran K.,65,2,A1
132,95,Prakash G.,53,1,A1
133,96,Arjun P.,40,1,A1
134,96,Deepa R.,21,1,A2
135,97,Mallesh N.,30,1,A1
136,98,Deepa R.,21,1,A1
137,98,Manju D.,30,1,A2
138,99,Manju D.,30,1,A1
139,100,Prakash G.,53,1,A1
140,101,Manju T.,53,2,A1
141,102,Ramesh T.,30,1,A1
142,103,Prakash S.,21,1,A1
143,103,Manju T.,53,2,A2
144,103,Mallesh R.,21,1,A3
145,104,Naveen G.,30,1,A1
146,105,Girish B.,30,2,A1
147,106,Lokesh P.,30,1,A1
148,106,Manju T.,53,2,A2
149,107,Naveen G.,30,1,A1
150,108,Naveen G.,30,1,A1
151,109,Prakash S.,21,1,A1
152,109,Ramesh V.,40,1,A2
153,109,Naveen P.,40,1,A3
154,110,Manju T.,53,2,A1
155,111,Naveen G.,30,1,A1
156,112,Kiran M.,21,1,A1
157,113,Naveen G.,30,1,A1
158,113,Ramesh V.,40,1,A2
159,113,Manju T.,53,2,A3
160,114,Naveen G.,30,1,A1
161,114,Ramesh V.,40,1,A2
162,115,Naveen P.,40,1,A1
163,116,Shankar P.,30,2,A1
164,117,Kiran M.,21,1,A1
165,118,Prakash S.,21,1,A1
166,119,Girish B.,30,2,A1
167,120,Mallesh R.,21,1,A1
168,120,Ramesh T.,30,1,A2
169,121,Suresh G.,30,1,A1
170,122,Nagaraj H.,21,2,A1
171,123,Anil R.,21,2,A1
172,123,Suresh G.,30,1,A2
173,124,Ravi G.,30,1,A1
174,124,Anil R.,21,2,A2
175,125,Anil R.,21,2,A1
176,125,Nagaraj H.,21,2,A2
177,125,Latha T.,30,2,A3
178,126,Ravi R.,30,1,A1
179,126,Ravi G.,30,1,A2
180,127,Naveen R.,40,1,A1
181,127,Shankar N.,30,1,A2
182,127,Ravi G.,30,1,A3
183,128,Ravi B.,30,1,A1
184,129,Kiran S.,53,2,A1
185,130,Ravi G.,30,1,A1
186,131,Nagaraj H.,21,2,A1
187,132,Anil R.,21,2,A1
188,132,Suresh G.,30,1,A2
189,133,Shankar T.,30,1,A1
190,134,Ravi R.,30,1,A1
191,135,Anil R.,21,2,A1
192,136,Ravi R.,30,1,A1
193,137,Suresh G.,30,1,A1
194,137,Naveen R.,40,1,A2
195,137,Kavya P.,40,3,A3
196,138,Naveen R.,40,1,A1
197,139,Vinod M.,21,1,A1
198,139,Latha T.,30,2,A2
199,140,Suresh G.,30,1,A1
200,140,Ravi G.,30,1,A2
201,141,Naveen N.,30,1,A1
202,142,Manju R.,53,1,A1
203,143,Lokesh K.,30,1,A1
204,144,Naveen N.,30,1,A1
205,145,Mahesh K.,21,1,A1
206,145,Basava T.,30,1,A2
207,146,Mahesh T.,30,1,A1
208,147,Mahesh K.,21,1,A1
