ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Vinod T.,61,1,1,1,1
2,2,Kavya T.,38,2,1,2,1
3,3,Suresh M.,27,3,1,3,1
4,4,Nagaraj N.,50,4,1,1,2
5,5,Suresh R.,54,3,1,3,2
6,6,Anil R.,32,1,1,3,1
7,7,Arjun R.,68,5,1,1,1
8,8,Latha M.,21,3,1,1,1
9,9,Shankar R.,21,6,1,4,1
10,10,Anil V.,33,7,1,1,1
11,11,Imran V.,54,4,1,1,3
12,12,Ravi D.,70,8,2,1,1
13,13,Manju D.,45,8,1,3,2
14,14,Mahesh K.,40,7,1,1,1
15,15,Arjun R.,30,1,1,3,2
16,16,Vinod S.,55,5,1,1,2
17,17,Nagaraj T.,60,9,1,2,1
18,18,Latha K.,37,9,1,3,1
19,19,Ramesh R.,27,3,1,3,1
20,20,Anil P.,26,9,1,5,2
21,21,Naveen B.,66,5,1,5,2
22,22,Ramesh R.,19,3,1,3,1
23,23,Girish G.,63,1,1,4,1
24,24,Arjun M.,45,8,1,4,2
25,25,Girish B.,19,9,1,3,1
26,26,Ramesh G.,62,7,1,3,1
27,27,Kavya H.,56,1,1,1,1
28,28,Prakash K.,34,5,1,4,2
29,29,Kavya G.,37,3,1,5,1
30,30,Ramesh N.,68,1,1,4,2
31,31,Latha P.,46,9,1,3,1
32,32,Kavya G.,58,5,3,3,2
33,33,Girish H.,70,5,1,3,3
34,34,Anil K.,58,7,1,1,1
35,35,Basava P.,48,7,1,3,1
36,36,Latha P.,40,9,1,3,1
37,37,Imran M.,51,8,1,1,2
38,38,Latha K.,57,1,1,2,1
39,39,Prakash M.,57,8,1,1,2
40,40,Basava T.,34,2,1,5,1
41,41,Latha M.,47,5,1,1,1
42,42,Suresh N.,49,5,1,3,1
43,43,Mahesh M.,61,6,2,3,1
44,44,Lokesh V.,31,6,1,4,2
45,45,Nagaraj G.,51,9,1,3,1
46,46,Mallesh P.,22,8,1,1,2
47,47,Latha T.,31,2,2,3,1
48,48,Latha H.,39,5,1,4,1
49,49,Roopa V.,61,4,1,2,1
50,50,Nagaraj H.,31,4,1,1,1
51,51,Anil B.,45,7,1,3,1
52,52,Latha T.,32,3,1,4,1
53,53,Manju G.,24,5,1,3,1
54,54,Yusuf M.,29,2,1,3,2
55,55,Mahesh N.,22,7,3,1,1
56,56,Mallesh P.,46,4,1,3,1
57,57,Mahesh N.,59,3,1,3,1
58,58,Prakash R.,39,8,1,1,2
59,59,Girish S.,28,8,1,3,1
60,60,Santosh V.,46,7,1,3,1
61,61,Shankar G.,18,3,1,3,1
62,62,Yusuf M.,67,9,1,1,1
63,63,Shankar H.,43,1,1,1,3
64,64,Arjun B.,69,3,1,4,1
65,65,Basava N.,58,5,2,1,3
66,66,Kiran D.,46,8,1,4,2
67,67,Arjun R.,25,2,1,1,1
68,68,Latha V.,41,3,4,1,1
69,69,Mahesh S.,67,8,1,4,1
70,70,Yusuf N.,57,8,1,1,1
71,71,Basava V.,58,4,2,3,1
72,72,Mahesh H.,53,2,1,1,1
73,73,Prakash P.,50,3,2,3,1
74,74,Mahesh K.,43,4,1,3,1
75,75,Mahesh S.,30,6,1,1,1
76,76,Shankar V.,39,4,1,3,1
77,77,Suresh V.,48,5,1,3,1
78,78,Nagaraj T.,21,2,1,3,1
79,79,Shankar R.,37,2,1,3,2
80,80,Kiran N.,20,2,1,3,1
81,81,Imran D.,34,4,1,3,1
82,82,Naveen N.,55,1,1,3,1
83,83,Kiran P.,27,7,4,3,1
84,84,Santosh R.,63,6,1,3,1
85,85,Suresh M.,48,5,1,4,1
86,86,Shankar P.,61,1,1,3,1
87,87,Manju M.,56,6,1,4,1
88,88,Roopa D.,70,7,1,1,1
89,89,Deepa B.,62,7,1,3,1
90,90,Lokesh K.,35,3,1,1,1
91,91,Arjun R.,62,7,1,2,1
92,92,Lokesh B.,38,8,1,1,1
93,93,Santosh B.,34,2,1,4,2
94,94,Ramesh M.,63,6,1,3,1
95,95,Prakash M.,24,4,1,3,1
96,96,Girish G.,42,8,1,1,1
97,97,Manju D.,35,9,1,1,2
98,98,Latha B.,42,3,1,5,2
99,99,Basava S.,61,4,1,4,1
100,100,Manju S.,45,6,1,3,1
101,101,Latha K.,64,4,1,3,1
102,102,Basava H.,20,7,1,2,2
103,103,Deepa T.,51,9,1,1,1
104,104,Imran T.,62,3,1,1,1
105,105,Girish D.,29,1,1,3,1
106,106,Santosh P.,51,5,1,3,2
107,107,Girish G.,56,7,1,1,1
108,108,Basava D.,49,3,1,3,1
109,109,Suresh T.,46,1,4,1,1
110,110,Roopa S.,68,9,1,1,1
111,111,Kiran T.,26,5,1,4,1
112,112,Ravi T.,23,9,1,3,1
113,113,Prakash P.,47,8,3,1,1
114,114,Imran K.,18,5,1,5,1
115,115,Mahesh T.,31,2,1,3,1
116,116,Santosh N.,31,4,1,4,1
117,117,Arjun M.,19,6,1,1,1
118,118,Yusuf D.,59,1,1,4,1
119,119,Ravi S.,49,4,1,4,2
120,120,Arjun P.,50,9,1,3,1
121,121,Anil R.,51,8,1,5,3
122,122,Santosh S.,33,5,2,2,1
123,123,Lokesh P.,37,4,2,1,1
124,124,Nagaraj H.,33,3,1,4,1
125,125,Manju R.,59,9,1,2,1
126,126,Kiran K.,57,5,1,1,1
127,127,Girish N.,29,4,1,1,1
128,128,Ramesh V.,69,8,2,5,1
129,129,Arjun H.,37,1,1,1,1
130,130,Deepa B.,22,3,2,3,1
131,131,Roopa B.,32,4,1,3,1
132,132,Kavya M.,49,9,1,1,1
133,133,Suresh G.,46,2,3,2,1
134,134,Naveen V.,57,8,1,3,2
135,135,Arjun S.,21,2,1,1,1
136,136,Latha G.,29,6,1,1,1
137,137,Latha K.,42,2,1,3,2
138,138,Lokesh S.,20,8,4,3,1
139,139,Kavya V.,66,3,1,1,2
140,140,Ramesh K.,65,9,1,3,1
141,141,Yusuf G.,50,6,1,4,1
142,142,Shankar D.,51,7,1,1,2
143,143,Roopa G.,60,2,1,1,1
144,144,Prakash N.,24,7,1,4,1
145,145,Yusuf V.,55,7,1,2,2
146,146,Manju P.,39,6,1,3,1
147,147,Mahesh K.,38,6,1,1,2
148,148,Santosh S.,39,8,1,4,3
149,149,Yusuf K.,21,7,1,3,1
150,150,Nagaraj V.,25,1,1,3,1
151,151,Kiran M.,67,4,1,1,1
152,152,Kiran D.,59,4,1,3,1
153,153,Basava V.,48,5,1,1,2
154,154,Santosh B.,51,1,1,1,1
155,155,Naveen N.,21,1,1,3,1
156,156,Ravi M.,68,7,1,3,1
157,157,Santosh R.,18,4,1,5,1
