EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
500001,558,100001,1,1,KG500001,Suresh,1985-01-01,1,1,0,2010-06-01
500002,558,100002,1,1,KG500002,Manju,1985-01-01,1,1,0,2010-06-01
500003,558,100003,1,1,KG500003,Anil,1985-01-01,1,1,0,2010-06-01
500004,579,100004,1,1,KG500004,Kiran,1985-01-01,1,1,0,2010-06-01
500005,579,100005,1,1,KG500005,Prakash,1985-01-01,1,1,0,2010-06-01
500006,579,100006,1,1,KG500006,Lokesh,1985-01-01,1,1,0,2010-06-01
500007,555,100007,1,1,KG500007,Ramesh,1985-01-01,1,1,0,2010-06-01
500008,555,100008,1,1,KG500008,Vinod,1985-01-01,1,1,0,2010-06-01
500009,555,100009,1,1,KG500009,Shankar,1985-01-01,1,1,0,2010-06-01
500010,580,100010,1,1,KG500010,Naveen,1985-01-01,1,1,0,2010-06-01
500011,580,100011,1,1,KG500011,Mahesh,1985-01-01,1,1,0,2010-06-01
500012,580,100012,1,1,KG500012,Girish,1985-01-01,1,1,0,2010-06-01
500013,556,100013,1,1,KG500013,Basava,1985-01-01,1,1,0,2010-06-01
500014,556,100014,1,1,KG500014,Imran,1985-01-01,1,1,0,2010-06-01
500015,556,100015,1,1,KG500015,Arjun,1985-01-01,1,1,0,2010-06-01
500016,559,100016,1,1,KG500016,Deepa,1985-01-01,1,1,0,2010-06-01
500017,559,100017,1,1,KG500017,Latha,1985-01-01,1,1,0,2010-06-01
500018,559,100018,1,1,KG500018,Kavya,1985-01-01,1,1,0,2010-06-01
500019,560,100019,1,1,KG500019,Roopa,1985-01-01,1,1,0,2010-06-01
500020,560,100020,1,1,KG500020,Yusuf,1985-01-01,1,1,0,2010-06-01
500021,560,100021,1,1,KG500021,Santosh,1985-01-01,1,1,0,2010-06-01
500022,561,100022,1,1,KG500022,Mallesh,1985-01-01,1,1,0,2010-06-01
500023,561,100023,1,1,KG500023,Nagaraj,1985-01-01,1,1,0,2010-06-01
500024,561,100024,1,1,KG500024,Ravi,1985-01-01,1,1,0,2010-06-01
500025,565,100025,1,1,KG500025,Suresh,1985-01-01,1,1,0,2010-06-01
500026,565,100026,1,1,KG500026,Manju,1985-01-01,1,1,0,2010-06-01
500027,565,100027,1,1,KG500027,Anil,1985-01-01,1,1,0,2010-06-01
500028,562,100028,1,1,KG500028,Kiran,1985-01-01,1,1,0,2010-06-01
500029,562,100029,1,1,KG500029,Prakash,1985-01-01,1,1,0,2010-06-01
500030,562,100030,1,1,KG500030,Lokesh,1985-01-01,1,1,0,2010-06-01
500031,563,100031,1,1,KG500031,Ramesh,1985-01-01,1,1,0,2010-06-01
500032,563,100032,1,1,KG500032,Vinod,1985-01-01,1,1,0,2010-06-01
500033,563,100033,1,1,KG500033,Shankar,1985-01-01,1,1,0,2010-06-01
500034,564,100034,1,1,KG500034,Naveen,1985-01-01,1,1,0,2010-06-01
500035,564,100035,1,1,KG500035,Mahesh,1985-01-01,1,1,0,2010-06-01
500036,564,100036,1,1,KG500036,Girish,1985-01-01,1,1,0,2010-06-01
500037,566,100037,1,1,KG500037,Basava,1985-01-01,1,1,0,2010-06-01
500038,566,100038,1,1,KG500038,Imran,1985-01-01,1,1,0,2010-06-01
500039,566,100039,1,1,KG500039,Arjun,1985-01-01,1,1,0,2010-06-01
500040,567,100040,1,1,KG500040,Deepa,1985-01-01,1,1,0,2010-06-01
500041,567,100041,1,1,KG500041,Latha,1985-01-01,1,1,0,2010-06-01
500042,567,100042,1,1,KG500042,Kavya,1985-01-01,1,1,0,2010-06-01
500043,568,100043,1,1,KG500043,Roopa,1985-01-01,1,1,0,2010-06-01
500044,568,100044,1,1,KG500044,Yusuf,1985-01-01,1,1,0,2010-06-01
500045,568,100045,1,1,KG500045,Santosh,1985-01-01,1,1,0,2010-06-01
500046,569,100046,1,1,KG500046,Mallesh,1985-01-01,1,1,0,2010-06-01
500047,569,100047,1,1,KG500047,Nagaraj,1985-01-01,1,1,0,2010-06-01
500048,569,100048,1,1,KG500048,Ravi,1985-01-01,1,1,0,2010-06-01
500049,570,100049,1,1,KG500049,Suresh,1985-01-01,1,1,0,2010-06-01
500050,570,100050,1,1,KG500050,Manju,1985-01-01,1,1,0,2010-06-01
500051,570,100051,1,1,KG500051,Anil,1985-01-01,1,1,0,2010-06-01
500052,582,100052,1,1,KG500052,Kiran,1985-01-01,1,1,0,2010-06-01
500053,582,100053,1,1,KG500053,Prakash,1985-01-01,1,1,0,2010-06-01
500054,582,100054,1,1,KG500054,Lokesh,1985-01-01,1,1,0,2010-06-01
500055,574,100055,1,1,KG500055,Ramesh,1985-01-01,1,1,0,2010-06-01
500056,574,100056,1,1,KG500056,Vinod,1985-01-01,1,1,0,2010-06-01
500057,574,100057,1,1,KG500057,Shankar,1985-01-01,1,1,0,2010-06-01
500058,581,100058,1,1,KG500058,Naveen,1985-01-01,1,1,0,2010-06-01
500059,581,100059,1,1,KG500059,Mahesh,1985-01-01,1,1,0,2010-06-01
500060,581,100060,1,1,KG500060,Girish,1985-01-01,1,1,0,2010-06-01
500061,583,100061,1,1,KG500061,Basava,1985-01-01,1,1,0,2010-06-01
500062,583,100062,1,1,KG500062,Imran,1985-01-01,1,1,0,2010-06-01
500063,583,100063,1,1,KG500063,Arjun,1985-01-01,1,1,0,2010-06-01
500064,575,100064,1,1,KG500064,Deepa,1985-01-01,1,1,0,2010-06-01
500065,575,100065,1,1,KG500065,Latha,1985-01-01,1,1,0,2010-06-01
500066,575,100066,1,1,KG500066,Kavya,1985-01-01,1,1,0,2010-06-01
500067,572,100067,1,1,KG500067,Roopa,1985-01-01,1,1,0,2010-06-01
500068,572,100068,1,1,KG500068,Yusuf,1985-01-01,1,1,0,2010-06-01
500069,572,100069,1,1,KG500069,Santosh,1985-01-01,1,1,0,2010-06-01
500070,572,100070,1,1,KG500070,Mallesh,1985-01-01,1,1,0,2010-06-01
500071,576,100071,1,1,KG500071,Nagaraj,1985-01-01,1,1,0,2010-06-01
500072,576,100072,1,1,KG500072,Ravi,1985-01-01,1,1,0,2010-06-01
500073,576,100073,1,1,KG500073,Suresh,1985-01-01,1,1,0,2010-06-01
500074,578,100074,1,1,KG500074,Manju,1985-01-01,1,1,0,2010-06-01
500075,578,100075,1,1,KG500075,Anil,1985-01-01,1,1,0,2010-06-01
500076,578,100076,1,1,KG500076,Kiran,1985-01-01,1,1,0,2010-06-01
500077,571,100077,1,1,KG500077,Prakash,1985-01-01,1,1,0,2010-06-01
500078,571,100078,1,1,KG500078,Lokesh,1985-01-01,1,1,0,2010-06-01
500079,571,100079,1,1,KG500079,Ramesh,1985-01-01,1,1,0,2010-06-01
500080,584,100080,1,1,KG500080,Vinod,1985-01-01,1,1,0,2010-06-01
500081,584,100081,1,1,KG500081,Shankar,1985-01-01,1,1,0,2010-06-01
500082,584,100082,1,1,KG500082,Naveen,1985-01-01,1,1,0,2010-06-01
500083,573,100083,1,1,KG500083,Mahesh,1985-01-01,1,1,0,2010-06-01
500084,573,100084,1,1,KG500084,Girish,1985-01-01,1,1,0,2010-06-01
500085,573,100085,1,1,KG500085,Basava,1985-01-01,1,1,0,2010-06-01
500086,577,100086,1,1,KG500086,Imran,1985-01-01,1,1,0,2010-06-01
500087,577,100087,1,1,KG500087,Arjun,1985-01-01,1,1,0,2010-06-01
500088,577,100088,1,1,KG500088,Deepa,1985-01-01,1,1,0,2010-06-01
500089,557,100089,1,1,KG500089,Latha,1985-01-01,1,1,0,2010-06-01
500090,557,100090,1,1,KG500090,Kavya,1985-01-01,1,1,0,2010-06-01
500091,557,100091,1,1,KG500091,Roopa,1985-01-01,1,1,0,2010-06-01
