VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,3,Roopa P.,72,1,0
2,4,Deepa V.,30,1,0
3,5,Latha S.,21,1,0
4,5,Latha S.,38,1,0
5,7,Basava P.,11,1,0
6,8,Ramesh S.,57,1,0
7,8,Lokesh G.,12,1,0
8,13,Vinod S.,61,1,0
9,14,Basava V.,24,2,0
10,14,Ramesh S.,27,2,0
11,17,Santosh M.,43,1,0
12,18,Imran D.,32,1,0
13,19,Yusuf V.,29,1,0
14,20,Imran V.,69,1,0
15,20,Latha P.,25,2,0
16,22,Lokesh P.,37,2,0
17,24,Nagaraj H.,39,1,0
18,25,Naveen N.,40,1,0
19,26,Basava T.,75,1,0
20,27,Shankar K.,73,1,0
21,28,Kavya D.,11,1,0
22,29,Lokesh D.,32,1,0
23,29,Manju S.,35,1,0
24,30,Latha R.,24,2,0
25,31,Ravi M.,34,2,0
26,35,Kiran M.,40,2,0
27,36,Mallesh R.,78,1,0
28,36,Basava K.,45,2,0
29,38,Basava M.,17,1,0
30,41,Mahesh M.,34,1,0
31,42,Santosh T.,74,1,0
32,43,Lokesh M.,63,1,0
33,45,Anil P.,69,1,0
34,47,Nagaraj M.,45,1,0
35,48,Nagaraj K.,41,1,0
36,48,Mahesh M.,78,1,0
37,50,Kavya V.,15,2,0
38,51,Suresh R.,55,3,0
39,52,Nagaraj K.,60,1,0
40,53,Nagaraj B.,33,1,0
41,53,Prakash M.,70,1,0
42,54,Kavya D.,46,2,0
43,55,Kavya H.,10,1,0
44,56,Naveen D.,11,2,0
45,59,Suresh G.,51,1,0
46,60,Prakash R.,22,2,0
47,61,Mahesh M.,72,1,0
48,62,Yusuf S.,64,3,0
49,64,Prakash H.,42,1,0
50,65,Nagaraj D.,25,2,0
51,66,Girish B.,40,1,0
52,67,Santosh B.,49,1,0
53,67,Latha H.,42,2,0
54,69,Suresh M.,71,1,0
55,71,Santosh G.,43,1,0
56,73,Deepa P.,35,1,0
57,73,Mahesh K.,11,1,0
58,76,Ravi B.,47,1,0
59,78,Naveen S.,63,2,0
60,80,Nagaraj P.,32,1,0
61,81,Lokesh S.,56,2,0
62,83,Latha D.,32,2,0
63,83,Santosh V.,15,1,0
64,84,Deepa G.,63,1,0
65,85,Girish P.,53,1,0
66,89,Ramesh N.,23,2,0
67,93,Nagaraj B.,26,1,0
68,94,Santosh V.,66,1,0
69,95,Vinod G.,15,1,0
70,98,Mahesh K.,17,1,0
71,99,Mallesh M.,15,1,0
72,101,Manju G.,68,1,0
73,102,Manju M.,36,1,0
74,103,Santosh V.,69,1,0
75,105,Basava G.,5,1,0
76,106,Mahesh B.,63,1,0
77,107,Yusuf S.,76,1,0
78,108,Ramesh N.,9,1,0
79,110,Roopa H.,26,1,0
80,111,Kavya D.,39,1,0
81,112,Latha G.,32,2,0
82,112,Lokesh P.,39,1,0
83,113,Shankar S.,40,1,0
84,113,Mahesh N.,15,1,0
85,114,Arjun M.,34,1,0
86,115,Manju M.,22,2,0
87,115,Kavya T.,54,1,0
88,116,Ramesh P.,54,1,0
89,117,Girish H.,41,1,0
90,117,Deepa G.,59,1,0
91,121,Manju K.,34,2,0
92,122,Nagaraj B.,45,1,0
93,123,Mallesh V.,10,1,0
94,126,Arjun K.,16,1,0
95,126,Kiran G.,30,1,0
96,133,Mahesh H.,53,1,0
97,133,Arjun V.,33,1,0
98,134,Basava S.,11,1,0
99,137,Ramesh P.,43,1,0
100,138,Vinod B.,13,1,0
101,139,Latha B.,57,1,0
102,140,Shankar N.,40,2,0
103,141,Kiran D.,27,1,0
104,142,Mahesh H.,41,1,0
105,142,Anil P.,13,1,0
106,143,Vinod G.,56,1,0
107,143,Suresh V.,78,2,0
108,144,Prakash D.,47,1,0
109,146,Lokesh S.,78,2,0
110,147,Ramesh R.,49,1,0
111,148,Girish K.,34,1,0
112,148,Kiran R.,7,1,0
113,150,Deepa R.,50,1,0
114,151,Imran N.,38,1,0
115,152,Manju B.,48,1,0
116,152,Girish G.,63,1,0
117,153,Roopa K.,21,1,0
118,154,Santosh D.,54,1,0
119,156,Yusuf D.,63,2,0
120,157,Mahesh T.,18,1,0
121,158,Imran P.,80,2,0
122,159,Girish G.,36,1,0
123,160,Yusuf S.,69,1,0
124,160,Yusuf B.,19,2,0
125,161,Kiran S.,79,2,0
126,163,Santosh B.,53,2,0
127,163,Anil G.,37,1,0
128,164,Basava M.,31,1,0
129,164,Mallesh T.,60,1,0
130,168,Manju N.,13,1,0
131,169,Basava S.,5,1,0
132,172,Ramesh M.,38,1,0
133,173,Girish B.,80,1,0
134,177,Kiran V.,17,1,0
135,179,Anil H.,5,1,0
136,180,Latha P.,37,3,0
137,182,Kavya P.,36,2,0
138,182,Imran D.,63,2,0
139,183,Prakash P.,45,1,0
140,184,Latha K.,66,1,0
141,185,Anil T.,71,1,0
142,187,Naveen P.,43,1,0
143,188,Yusuf D.,73,1,0
144,190,Mallesh T.,15,1,0
145,190,Girish M.,17,1,0
146,195,Nagaraj K.,34,1,0
147,196,Ravi M.,36,1,0
148,197,Lokesh B.,11,2,0
149,198,Santosh V.,48,2,0
150,199,Imran H.,42,1,0
151,200,Ravi V.,51,2,0
152,201,Basava M.,26,2,0
153,202,Latha T.,37,1,0
154,203,Deepa H.,78,2,0
155,203,Kiran M.,9,1,0
156,204,Shankar K.,78,1,0
157,206,Basava T.,21,2,0
158,208,Kiran N.,6,1,0
159,208,Anil N.,62,1,0
160,209,Roopa N.,11,1,0
161,210,Mallesh K.,10,1,0
162,211,Vinod R.,24,1,0
163,211,Girish D.,22,1,0
164,214,Arjun S.,69,2,0
165,216,Imran P.,10,2,0
